id,prefix_id,supplier_id,group_line_id,group_line_name,status_id,created_on,created_by,updated_on,updated_by,transfer_switch
293,8,26,10293,RALPH LAUREN,1,NULL,NULL,2020-10-13 16:19:47.000,1,NULL
292,8,68,10292,PUPA,1,NULL,NULL,2021-04-29 11:57:15.000,1,0
291,8,NULL,10291,PRIVATE,1,NULL,NULL,NULL,NULL,NULL
290,8,124,10290,PREMIERE NOTE,1,NULL,NULL,2021-04-29 11:56:57.000,1,0
289,8,NULL,10289,PREMIERE,1,NULL,NULL,NULL,NULL,NULL
288,8,2,10288,PREGO,1,NULL,NULL,2020-03-10 19:57:33.000,1,NULL
287,8,26,10287,PRADA,1,NULL,NULL,2020-10-13 16:19:16.000,1,NULL
286,8,NULL,10286,POWER PUFF,1,NULL,NULL,NULL,NULL,NULL
285,8,NULL,10285,POUTY LIPZZ,1,NULL,NULL,NULL,NULL,NULL
284,8,NULL,10284,PORSCHE,1,NULL,NULL,NULL,NULL,NULL
283,8,NULL,10283,POIRAY,1,NULL,NULL,NULL,NULL,NULL
282,8,NULL,10282,PIERRE CLARENCE,1,NULL,NULL,NULL,NULL,NULL
281,8,58,10281,PIERRE CARDIN,1,NULL,NULL,2021-04-29 11:55:47.000,1,0
280,8,NULL,10280,PIERRE BALMAIN,1,NULL,NULL,NULL,NULL,NULL
279,8,NULL,10279,PICARD,1,NULL,NULL,NULL,NULL,NULL
278,8,NULL,10278,PFANNER,1,NULL,NULL,NULL,NULL,NULL
277,8,155,10277,PERRY ELLIS,1,NULL,NULL,2021-04-29 11:55:11.000,1,0
276,8,2,10276,PEPPERIDGE FARM,1,NULL,NULL,2020-03-10 12:31:55.000,1,NULL
275,8,NULL,10275,PENTHOUSE,1,NULL,NULL,NULL,NULL,NULL
274,8,13,10274,PENOTTI,1,NULL,NULL,2020-04-27 12:01:11.000,1,NULL
273,8,164,10273,PENGUIN,1,NULL,NULL,2021-05-02 12:31:54.000,1,0
272,8,NULL,10272,PAUL SMITH,1,NULL,NULL,NULL,NULL,NULL
271,8,NULL,10271,PARAH,1,NULL,NULL,NULL,NULL,NULL
270,8,NULL,10270,PAPARAZZI,1,NULL,NULL,NULL,NULL,NULL
269,8,NULL,10269,PALC,1,NULL,NULL,NULL,NULL,NULL
268,8,26,10268,PACO RABANNE,1,NULL,NULL,2020-10-13 16:18:22.000,1,NULL
267,8,NULL,10267,OXFORD,1,NULL,NULL,NULL,NULL,NULL
266,8,34,10266,OXETTE,1,NULL,NULL,2020-10-13 16:28:18.000,1,NULL
265,8,153,10265,ONYRICO,1,NULL,NULL,2021-04-29 11:52:37.000,1,0
264,8,NULL,10264,OMEGA,1,NULL,NULL,NULL,NULL,NULL
263,8,NULL,10263,OMAS,1,NULL,NULL,NULL,NULL,NULL
262,8,NULL,10262,OLRI,1,NULL,NULL,NULL,NULL,NULL
261,8,NULL,10261,NOBILE,1,NULL,NULL,NULL,NULL,NULL
260,8,NULL,10260,NINO DANIELI,1,NULL,NULL,NULL,NULL,NULL
259,8,26,10259,NINA RICCI,1,NULL,NULL,2020-10-13 16:17:54.000,1,NULL
258,8,84,10258,NARCISO RODRIGUEZ,1,NULL,NULL,2021-04-29 11:52:07.000,1,0
257,8,NULL,10257,NANNINI,1,NULL,NULL,NULL,NULL,NULL
256,8,NULL,10256,MY TORRENTE,1,NULL,NULL,NULL,NULL,NULL
255,8,NULL,10255,MOVADO WATCHES,1,NULL,NULL,NULL,NULL,NULL
254,8,NULL,10254,MOSER,1,NULL,NULL,NULL,NULL,NULL
253,8,30,10253,MOSCHINO,1,NULL,NULL,2020-10-13 16:17:01.000,1,NULL
252,8,NULL,10252,MORGAN,1,NULL,NULL,NULL,NULL,NULL
251,8,67,10251,MONTANA,1,NULL,NULL,2021-04-29 11:51:42.000,1,0
250,8,NULL,10250,MONACO,1,NULL,NULL,NULL,NULL,NULL
